drone;total_time;min_time;max_time;mean_time;time_working
drone1;33.506228;1.537196;8.473076;5.584371333333333;0.9372624048363917
drone2;33.506228;1.537196;8.473076;5.584371333333333;0.02929645405811593
drone3;33.506228;1.537196;8.473076;5.584371333333333;1.0
drone4;33.506228;1.537196;8.473076;5.584371333333333;0.7505511540977463
